date,species,sex,tree_id,orientation,tray_colour,tray_position_id,weight,treatment,with_male,mating_location,eggs,comments
27/11/2023,wm,f,17484,n,purple,c10,NA,storage,NA,NA,NA,NA
27/11/2023,su,f,17307,s,purple,c11,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17484,n,purple,c12,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17863,n,purple,c4,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17028,n,purple,c5,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17307,s,purple,c6,NA,storage,NA,NA,NA,NA
27/11/2023,su,f,17893,s,purple,c7,NA,storage,NA,NA,NA,NA
27/11/2023,su,f,17907,s,purple,c8,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17893,s,purple,c9,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17863,n,purple,d1,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,16089,n,purple,d10,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17863,s,purple,d11,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,16091,s,purple,d12,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,16091,s,purple,d2,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17307,s,purple,d3,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,16682,s,purple,d4,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17893,s,purple,d5,NA,storage,NA,NA,NA,NA
27/11/2023,sm,f,17863,s,purple,d6,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17484,s,purple,d7,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,16682,s,purple,d8,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17028,n,purple,d9,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17863,s,purple,e1,NA,storage,NA,NA,NA,NA
27/11/2023,su,f,16682,s,purple,e2,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,14511,s,purple,e3,NA,storage,NA,NA,NA,NA
27/11/2023,su,f,17893,n,purple,e4,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17028,s,purple,e5,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,16682,s,purple,e6,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17028,n,purple,e7,NA,storage,NA,NA,NA,NA
27/11/2023,wm,f,17863,s,purple,e8,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,17907,s,s1,b7,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,17115,s,s1,b8,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,16682,s,s1,b9,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,17484,n,s1,c1,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,16106,s,s1,c2,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,21184,s,s1,c3,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,16180,s,s1,c4,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,17863,n,s1,c5,NA,storage,NA,NA,NA,NA
27/11/2023,wm,m,18178,s,s1,c6,NA,storage,NA,NA,NA,NA
27/11/2023,su,m,17115,n,s1,c7,NA,storage,NA,NA,NA,NA
27/11/2023,red_green_carpet,m,16180,s,s1,c8,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,s,w3,a1,0.018,mated,y,o1a1,y,NA
29/11/2023,wm,f,17863,s,purple,a1,0.023,storage,NA,NA,NA,NA
29/11/2023,wm,m,20708,n,s1,a1,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17028,n,w3,a10,0.0335,mated,n,o1a10,y,NA
29/11/2023,wm,f,19872,s,purple,a10,0.0224,storage,NA,NA,NA,NA
29/11/2023,wm,f,19872,s,purple,a11,0.0438,storage,NA,NA,NA,NA
29/11/2023,wm,f,21184,n,purple,a12,0.0355,storage,NA,NA,NA,NA
29/11/2023,wm,m,14511,s,s1,a2,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,s,purple,a2,0.0159,storage,NA,NA,NA,NA
29/11/2023,wm,f,17115,s,w3,a2,0.0227,mated,n,o1a2,y,NA
29/11/2023,wm,f,14511,s,w3,a3,0.0209,mated,n,o1a3,y,NA
29/11/2023,wm,f,17863,s,purple,a3,0.0169,storage,NA,NA,NA,NA
29/11/2023,wm,m,17863,n,s1,a3,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,14511,s,purple,a4,0.0207,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,n,w3,a4,0.0275,mated,y,o1a4,y,NA
29/11/2023,su,m,17863,n,s1,a4,NA,storage,NA,NA,NA,NA
29/11/2023,su,f,14511,s,purple,a5,0.0304,storage,NA,NA,NA,NA
29/11/2023,su,m,17863,n,s1,a5,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,19872,s,w3,a5,0.0241,mated,y,o1a5,n,NA
29/11/2023,wm,m,16091,s,s1,a6,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,n,purple,a6,0.0119,storage,NA,NA,NA,NA
29/11/2023,wm,f,21184,s,w3,a6,0.0389,mated,n,o1a6,y,NA
29/11/2023,wm,f,17307,s,w3,a7,0.0228,mated,NA,o1a7,y,NA
29/11/2023,wm,m,17307,s,s1,a7,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,n,purple,a7,0.0198,storage,NA,NA,NA,NA
29/11/2023,wm,m,19864,n,s1,a8,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,n,purple,a8,0.0211,storage,NA,NA,NA,NA
29/11/2023,wm,f,18178,s,w3,a8,0.0333,mated,y,o1a8,y,NA
29/11/2023,wm,f,16682,s,w3,a9,0.0314,mated,n,o1a9,y,NA
29/11/2023,sm,m,17321,n,s1,a9,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,s,purple,a9,0.0418,storage,NA,NA,NA,NA
29/11/2023,wm,f,17863,n,w3,a11,0.0144,mated,n,o1b1,n,NA
29/11/2023,wm,f,21184,s,purple,b1,0.0104,storage,NA,NA,NA,NA
29/11/2023,sm,f,16682,s,purple,b10,0.0684,storage,NA,NA,NA,NA
29/11/2023,sm,f,16682,n,purple,b11,0.0805,storage,NA,NA,NA,NA
29/11/2023,sm,f,16091,n,purple,b12,0.0999,storage,NA,NA,NA,NA
04/12/2023,wm,f,17863,n,w3,b8,0.0154,mated,y,o1b10,n,NA
29/11/2023,su,f,21184,s,purple,b2,0.0477,storage,NA,NA,NA,NA
29/11/2023,wm,f,17307,s,purple,b3,0.0238,storage,NA,NA,NA,NA
29/11/2023,wm,f,17484,n,w3,a12,0.0197,mated,n,o1b2,y,NA
29/11/2023,wm,f,17307,s,purple,b4,0.0293,storage,NA,NA,NA,NA
29/11/2023,wm,f,17307,s,purple,b5,0.0376,storage,NA,NA,NA,NA
29/11/2023,wm,f,17307,s,purple,b6,0.0185,storage,NA,NA,NA,NA
29/11/2023,wm,f,17307,n,purple,b7,0.0289,storage,NA,NA,NA,NA
29/11/2023,wm,f,17307,s,purple,b8,0.0365,storage,NA,NA,NA,NA
29/11/2023,wm,f,17307,s,purple,b9,0.0281,storage,NA,NA,NA,NA
29/11/2023,wm,f,17028,s,purple,c1,0.0207,storage,NA,NA,NA,NA
29/11/2023,sm,f,17115,n,purple,c2,0.0625,storage,NA,NA,NA,NA
29/11/2023,sm,f,14291,s,purple,c3,0.0818,storage,NA,NA,NA,NA
29/11/2023,wm,f,14128,n,NA,NA,0.0233,lionel,NA,NA,NA,NA
29/11/2023,wm,f,14128,n,NA,NA,0.0183,lionel,NA,NA,NA,NA
29/11/2023,wm,f,14128,s,NA,NA,0.024,lionel,NA,NA,NA,NA
01/12/2023,wm,m,14291,n,s1,b1,NA,storage,NA,NA,NA,NA
29/11/2023,wm,f,17321,s,w3,b1,0.0384,mated,n,o1b3,y,NA
01/12/2023,wm,f,14511,n,w3,b2,0.0265,mated,n,o1b4,y,NA
01/12/2023,wm,f,16091,n,blue,a1,0.0257,storage,NA,NA,NA,NA
01/12/2023,mu,f,17863,s,blue,a2,0.099,storage,NA,NA,NA,NA
01/12/2023,wm,f,17863,s,blue,a3,0.0268,storage,NA,NA,NA,NA
01/12/2023,wm,f,16091,s,w3,b3,0.0116,mated,n,o1b5,y,NA
01/12/2023,wm,f,17863,n,w3,b4,0.0111,mated,y,o1b6,y,NA
01/12/2023,wm,f,17863,n,w3,b5,0.0222,mated,y,o1b7,y,NA
01/12/2023,sm,m,19864,n,s1,b2,NA,storage,NA,NA,NA,NA
01/12/2023,wm,m,19864,n,s1,b3,NA,storage,NA,NA,NA,NA
01/12/2023,wm,m,19864,n,s1,b4,NA,storage,NA,NA,NA,NA
01/12/2023,wm,m,21184,s,s1,b5,NA,storage,NA,NA,NA,NA
01/12/2023,wm,m,21184,s,s1,b6,NA,storage,NA,NA,NA,NA
01/12/2023,wm,f,17321,n,NA,NA,0.0354,lionel,NA,NA,NA,NA
01/12/2023,wm,m,17321,n,NA,NA,NA,lionel,NA,NA,NA,NA
01/12/2023,wm,f,14128,s,NA,NA,0.0266,lionel,NA,NA,NA,NA
01/12/2023,wm,f,14128,s,NA,NA,0.0265,lionel,NA,NA,NA,NA
01/12/2023,wm,m,14128,s,NA,NA,NA,lionel,NA,NA,NA,NA
27/11/2023,wm,m,19872,s,s1,c9,NA,storage,y,o1a5,NA,NA
01/12/2023,wm,m,17863,NA,s1,a10,NA,storage,y,o1b6,NA,NA
01/12/2023,wm,m,17863,n,s1,b10,NA,storage,y,o1b8,NA,NA
01/12/2023,wm,m,17863,n,s1,c10,NA,storage,y,o1b7,NA,NA
29/11/2023,wm,m,17863,s,s1,d1,NA,storage,y,o1a1,NA,NA
29/11/2023,wm,m,17863,s,s1,d2,NA,storage,y,o1a4,NA,NA
29/11/2023,wm,m,21184,s,s1,d3,NA,storage,y,o1a6,NA,NA
04/12/2023,?,f,14511,s,blue,a4,0.0466,storage,NA,NA,NA,NA
04/12/2023,wm,f,14511,s,lost,lost,lost,lost,lost,lost,NA,NA
01/12/2023,wm,f,17863,n,w3,b6,0.0106,mated,y,o1b8,n,NA
04/12/2023,wm,f,14511,s,blue,a5,0.0301,storage,NA,NA,NA,NA
04/12/2023,wm,f,14511,s,blue,a6,0.0298,storage,NA,NA,NA,NA
04/12/2023,wm,f,14511,s,blue,a7,0.0258,storage,NA,NA,NA,NA
04/12/2023,wm,f,14511,n,blue,a8,0.029,storage,NA,NA,NA,NA
04/12/2023,wm,f,14511,n,blue,a9,0.0304,storage,NA,NA,NA,NA
04/12/2023,wm,f,14128,n,NA,NA,0.0232,lionel,NA,NA,NA,NA
04/12/2023,wm,f,14128,n,NA,NA,0.0432,lionel,NA,NA,NA,NA
04/12/2023,wm,f,14128,n,NA,NA,0.0372,lionel,NA,NA,NA,NA
04/12/2023,wm,f,14128,n,NA,NA,0.033,lionel,NA,NA,NA,NA
04/12/2023,wm,f,14128,n,NA,NA,0.0249,lionel,NA,NA,NA,NA
04/12/2023,wm,f,14128,n,NA,NA,0.0278,lionel,NA,NA,NA,NA
04/12/2023,wm,f,14128,n,NA,NA,0.0411,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,n,NA,NA,0.0304,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,n,NA,NA,0.0284,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,n,NA,NA,0.0207,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,s,NA,NA,0.0279,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,s,NA,NA,0.0199,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,s,NA,NA,0.0251,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,s,NA,NA,0.023,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,s,NA,NA,0.03,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,s,NA,NA,0.039,lionel,NA,NA,NA,NA
04/12/2023,wm,f,17321,s,NA,NA,0.0379,lionel,NA,NA,NA,NA
04/12/2023,wm,m,17321,s,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,m,17321,s,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,m,17321,s,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,m,17321,s,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,m,17321,s,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,su,m,17321,s,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,m,14128,n,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,m,14128,n,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,m,14128,n,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,f,20708,s,NA,NA,0.0294,lionel,NA,NA,NA,NA
04/12/2023,wm,m,20708,s,NA,NA,NA,lionel,NA,NA,NA,NA
04/12/2023,wm,f,14511,s,w3,b7,0.0181,mated,y,o1b9,y,NA
04/12/2023,wm,f,14291,n,blue,a10,0.0123,storage,NA,NA,NA,NA
04/12/2023,wm,f,17893,n,w3,b9,0.0247,mated,y,o1c1,y,NA
04/12/2023,su,f,15160,s,blue,a11,0.0294,storage,NA,NA,NA,NA
04/12/2023,wm,f,18178,s,w3,c6,0.0165,mated,y,o1c10,n,NA
