area,plot,date,day,observer,post_id,tree_id,species,position,nfwm,fwm,og,t,rb,sh,uk,totalcats,totalwm,wb,uknotes
extra,extra1,03/05/2023,123,lm,k9,k9_oaka,oak,1,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,k9,k9_oakb,oak,2,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,k9,k9_sycamore,sycamore,3,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,k9,k9_hazel,hazel,4,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,k9,k9_ash,ash,5,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,k9,k9_oakc,oak,6,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l3,l3_sycamore,sycamore,7,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l3,l3_ash,ash,8,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l3,l3_birch,birch,9,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l3,l3_oakc,oak,10,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l3,l3_oaka,oak,11,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l3,l3_oakb,oak,12,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l3,l3_hazel,hazel,13,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_birch,birch,14,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_oakc,oak,15,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_oakb,oak,16,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_ash,ash,17,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_hazel,hazel,18,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_sycamore,sycamore,19,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_beech,beech,20,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l4,l4_oaka,oak,21,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_hazel,hazel,22,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_beech,beech,23,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_birch,birch,24,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_sycamore,sycamore,25,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_ash,ash,26,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_oaka,oak,27,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_oakb,oak,28,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l8,l8_oakc,oak,29,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l9,l9_oakc,oak,30,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l9,l9_oakb,oak,31,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l9,l9_oaka,oak,32,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l9,l9_ash,ash,33,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l9,l9_sycamore,sycamore,34,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,03/05/2023,123,lm,l9,l9_hazel,hazel,35,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l4,l4_sycamore,sycamore,5,1,0,3,0,0,0,0,4,1,0,NA
extra,extra1,06/05/2023,126,fc,l4,l4_hazel,hazel,6,1,0,0,1,0,0,0,2,1,0,NA
extra,extra1,06/05/2023,126,fc,l4,l4_ash,ash,7,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l4,l4_birch,birch,8,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,fc,l3,l3_hazel,hazel,12,2,0,0,0,0,0,0,2,2,0,NA
extra,extra1,06/05/2023,126,fc,l3,l3_ash,ash,13,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l3,l3_birch,birch,14,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l3,l3_sycamore,sycamore,15,0,0,0,0,1,0,1,2,0,0,1green
extra,extra1,06/05/2023,126,fc,k9,k9_sycamore,sycamore,19,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,k9,k9_hazel,hazel,20,0,0,0,2,0,0,0,2,0,0,NA
extra,extra1,06/05/2023,126,fc,k9,k9_ash,ash,21,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l8,l8_beech,beech,22,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l8,l8_hazel,hazel,23,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l8,l8_birch,birch,24,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,fc,l8,l8_sycamore,sycamore,25,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l9,l9_ash,ash,33,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,fc,l9,l9_sycamore,sycamore,34,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,fc,l9,l9_hazel,hazel,35,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,lf,l4,l4_oaka,oak,1,0,0,2,0,2,0,0,4,0,0,NA
extra,extra1,06/05/2023,126,lf,l4,l4_beech,beech,2,0,0,0,0,2,0,0,2,0,0,NA
extra,extra1,06/05/2023,126,lf,l4,l4_oakb,oak,3,2,0,1,0,0,0,0,3,2,0,NA
extra,extra1,06/05/2023,126,lf,l4,l4_oakc,oak,4,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,lf,l3,l3_oaka,oak,9,1,0,1,0,0,0,0,2,1,0,NA
extra,extra1,06/05/2023,126,lf,l3,l3_oakb,oak,10,1,0,0,0,0,0,0,1,1,1,NA
extra,extra1,06/05/2023,126,lf,l3,l3_oakc,oak,11,0,1,0,0,0,0,0,1,1,0,NA
extra,extra1,06/05/2023,126,lf,k9,k9_oaka,oak,16,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,lf,k9,k9_oakb,oak,17,0,0,1,0,0,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,lf,k9,k9_oakc,oak,18,0,0,1,1,0,0,0,2,0,0,NA
extra,extra1,06/05/2023,126,lf,l8,l8_ash,ash,26,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,lf,l8,l8_oaka,oak,27,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,lf,l8,l8_oakb,oak,28,0,0,0,1,0,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,lf,l8,l8_oakc,oak,29,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,06/05/2023,126,lf,l9,l9_oakc,oak,30,0,0,1,0,0,0,0,1,0,0,NA
extra,extra1,06/05/2023,126,lf,l9,l9_oakb,oak,31,0,0,0,0,0,0,0,0,0,1,NA
extra,extra1,06/05/2023,126,lf,l9,l9_oaka,oak,32,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_beech,beech,1,2,0,0,0,0,0,0,2,2,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_oaka,oak,2,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_ash,ash,3,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_sycamore,sycamore,4,0,0,2,0,0,0,0,2,0,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_hazel,hazel,5,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_oakb,oak,6,3,0,0,0,0,0,0,3,3,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_oakc,oak,7,1,0,0,0,0,0,0,1,1,0,NA
extra,extra1,09/05/2023,129,gl,l4,l4_birch,birch,8,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,09/05/2023,129,gl,l3,l3_hazel,hazel,9,2,0,1,0,0,0,2,5,2,0,smallgreenandmushy
extra,extra1,09/05/2023,129,gl,l3,l3_oaka,oak,10,2,0,0,0,0,0,0,2,2,0,NA
extra,extra1,09/05/2023,129,gl,l3,l3_oakb,oak,11,1,0,1,0,0,0,0,2,1,0,quitemushy
extra,extra1,09/05/2023,129,gl,l3,l3_oakc,oak,12,2,0,2,0,1,0,0,5,2,0,ogmushy
extra,extra1,09/05/2023,129,gl,l3,l3_ash,ash,13,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l3,l3_birch,birch,14,1,0,0,0,0,0,0,1,1,1,NA
extra,extra1,09/05/2023,129,gl,l3,l3_sycamore,sycamore,15,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,k9,k9_oaka,oak,16,0,0,1,1,0,0,1,3,0,0,1green
extra,extra1,09/05/2023,129,gl,k9,k9_oakb,oak,17,1,1,0,0,0,0,0,2,2,0,NA
extra,extra1,09/05/2023,129,gl,k9,k9_sycamore,sycamore,18,0,1,1,0,1,0,0,3,1,0,NA
extra,extra1,09/05/2023,129,gl,k9,k9_hazel,hazel,19,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,09/05/2023,129,gl,k9,k9_ash,ash,20,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,k9,k9_oakc,oak,21,1,0,0,0,0,0,0,1,1,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_birch,birch,22,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_hazel,hazel,23,1,0,0,0,0,0,0,1,1,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_beech,beech,24,0,0,1,0,0,0,0,1,0,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_ash,ash,25,1,0,0,0,0,0,0,1,1,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_sycamore,sycamore,26,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_oaka,oak,27,0,1,0,0,0,0,0,1,1,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_oakb,oak,28,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l8,l8_oakc,oak,29,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l9,l9_oakc,oak,30,1,0,1,0,0,0,0,2,1,1,NA
extra,extra1,09/05/2023,129,gl,l9,l9_oakb,oak,31,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l9,l9_oaka,oak,32,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l9,l9_ash,ash,33,0,0,0,0,1,0,0,1,0,0,NA
extra,extra1,09/05/2023,129,gl,l9,l9_sycamore,sycamore,34,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,09/05/2023,129,gl,l9,l9_hazel,hazel,35,0,0,1,0,0,0,0,1,0,0,NA
extra,extra1,12/05/2023,132,ar,l3,l3_sycamore,sycamore,1,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,12/05/2023,132,ar,k9,k9_oaka,oak,2,1,1,1,0,0,1,0,4,2,0,NA
extra,extra1,12/05/2023,132,ar,k9,k9_oakb,oak,3,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,12/05/2023,132,ar,k9,k9_sycamore,sycamore,4,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,12/05/2023,132,ar,k9,k9_hazel,hazel,5,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,12/05/2023,132,ar,k9,k9_ash,ash,6,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,12/05/2023,132,ar,k9,k9_oakc,oak,7,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,13/05/2023,133,lm,l9,l9_hazel,hazel,1,0,0,0,0,0,0,0,0,0,0,NA
extra,extra1,13/05/2023,133,lm,l9,l9_sycamore,sycamore,2,1,0,0,0,0,0,0,1,1,0,NA
extra,extra1,13/05/2023,133,lm,l9,l9_ash,ash,3,1,0,0,0,1,0,0,2,1,0,NA
extra,extra1,13/05/2023,133,lm,l9,l9_oakc,oak,4,6,1,1,1,1,0,0,10,7,0,NA
extra,extra1,13/05/2023,133,lm,l9,l9_oakb,oak,5,2,0,0,0,0,0,0,2,2,0,NA
