nb,section,x,y,grid.ref,bearing,sp,number,logger,qc
B1,b,-1.308809725,51.76481187,SP4779707574,350,G,1,331,1
B10,b,-1.309306062,51.76457202,SP4776307547,40,G,10,323,1
B107,b,-1.309100942,51.76375109,SP4777807456,50,G,107,329,1
B108,b,-1.308661051,51.76410968,SP4780807496,130,G,108,334,1
B11,b,-1.309505208,51.76481595,SP4774907574,350,G,11,332,1
B111,b,-1.309487017,51.76505861,SP4775007601,190,G,111,327,1
B112,b,-1.309235075,51.76542577,SP4776707642,110,G,112,736,1
B117,b,-1.308046729,51.76638084,SP4784807749,160,G,117,573,1
B119,b,-1.307029421,51.76657266,SP4791807771,300,G,119,567,1
B12,b,-1.309264223,51.76544329,SP4776507644,300,G,12,562,1
B121,b,-1.306229451,51.76676575,SP4797307793,250,G,121,566,1
B122,b,-1.307167439,51.76702303,SP4790807821,180,G,122,570,1
B123,b,-1.307846954,51.76712594,SP4786107832,220,G,123,561,1
B125,b,-1.308361108,51.76667041,SP4782607781,50,G,125,578,1
B131,b,-1.310207229,51.76534201,SP4770007632,220,G,131,326,1
B139,b,-1.311607541,51.76365969,SP4760507444,340,G,139,173,1
B14,b,-1.309055439,51.76580234,SP4777907684,110,G,14,571,1
B140,b,-1.312474199,51.76351641,SP4754507427,260,G,140,171,1
B145,b,-1.312717702,51.76415144,SP4752807498,80,G,145,161,1
B147,b,-1.312181745,51.76413932,SP4756507497,290,G,147,168,1
B148,b,-1.311711673,51.76455915,SP4759707544,280,G,148,179,1
B15,b,-1.308580716,51.76557477,SP4781207659,50,G,15,419,1
B159,b,-1.313393272,51.76592665,SP4747907695,140,G,159,337,1
B16,b,-1.308310566,51.76618459,SP4783007727,340,G,16,572,1
B161,b,-1.314102982,51.76549023,SP4743107646,280,G,161,182,1
B162,b,-1.314181557,51.76508608,SP4742607601,270,G,162,170,1
B165,b,-1.313728937,51.76435515,SP4745807520,60,G,165,167,1
B168,b,-1.313176409,51.76352474,SP4749707428,90,G,168,172,1
B170,b,-1.312311175,51.76324994,SP4755707398,40,G,170,169,1
B177,b,-1.311742706,51.7663306,SP4759307741,150,G,177,111,1
B182,b,-1.312125596,51.7668813,SP4756607802,90,G,182,109,1
B184,b,-1.311495968,51.7673092,SP4760907850,250,G,184,106,1
B185,b,-1.311081217,51.76790019,SP4763707916,130,G,185,410,1
B187,b,-1.309428424,51.76829204,SP4775007960,320,G,187,406,1
B188,b,-1.309651304,51.76853917,SP4773507988,210,G,188,414,1
B189,b,-1.309355735,51.76891506,SP4775508030,80,G,189,412,1
B190,b,-1.308883116,51.76949672,SP4778708095,110,G,190,416,1
B191,b,-1.309512252,51.7691048,SP4774408051,100,G,191,401,1
B192,b,-1.308438024,51.76922436,SP4781808065,220,G,192,417,1
B193,b,-1.308505874,51.7685774,SP4781407993,240,G,193,408,1
B194,b,-1.307611868,51.76828442,SP4787607961,270,G,194,103,no logger
B194A,b,-1.308034561,51.76812506,SP4784707943,340,G,194a,102,1
B196,b,-1.309830025,51.76727246,SP4772407847,330,G,196,110,1
B199,b,-1.310889454,51.76621771,SP4765207729,190,G,199,339,1
B20,b,-1.306611007,51.76645331,SP4794707758,340,G,20,575,1
B201,b,-1.313281379,51.76711284,SP4748607827,70,G,201,560,1
B203,b,-1.310785205,51.76354671,SP4766207432,20,G,203,176,1
B204,b,-1.307002643,51.76642864,SP4792007755,90,G,204,568,1
B205,b,-1.307615337,51.76616251,SP4787807725,300,G,205,yes,no logger
B207,b,-1.312627556,51.76722591,SP4753107840,250,G,207,119,1
B208,b,-1.311862592,51.76702363,SP4758407818,310,G,208,107,1
B21,b,-1.306233309,51.76651402,SP4797307765,320,G,21,577,1
B211,b,-1.31160273,51.7660061,SP4760307705,195,G,211,338,1
B212,b,-1.312799637,51.76639073,SP4752007747,320,G,212,116,1
B213,b,-1.311550922,51.76655426,SP4760607766,340,G,213,112,1
B214,b,-1.311502941,51.76685069,SP4760907799,140,G,214,114,1
B215,b,-1.311097497,51.76683033,SP4763707797,140,G,215,115,1
B216,b,-1.310709008,51.76664823,SP4766407777,320,G,216,113,1
B217,b,-1.309426224,51.76714421,SP4775207833,250,G,217,108,1
B222,b,-1.31041432,51.76316205,SP4768807389,320,G,222,165,1
B223,b,-1.310049941,51.7642527,SP4771207511,180,G,223,333,1
B224,b,-1.309432075,51.76771069,SP4775107896,300,G,224,101,1
B225,b,-1.308759213,51.76812033,SP4779707942,30,G,225,403,1
B226,b,-1.308113121,51.76867399,SP4784108004,320,G,226,404,1
B227,b,-1.30921558,51.76955262,SP4776408101,10,G,227,418,1
B228,b,-1.30698489,51.7675884,SP4792007884,210,G,228,104,1
B23,b,-1.307679453,51.76765543,SP4787207891,70,G,23,105,1
B24,b,-1.307993641,51.76700991,SP4785107819,280,G,24,579,1
B25,b,-1.308042195,51.76667752,SP4784807782,140,G,25,574,1
B26,b,-1.308824096,51.76671809,SP4779407786,300,G,26,564,1
B27,b,-1.308915976,51.76639494,SP4778807750,100,G,27,580,1
B30,b,-1.310197641,51.76597134,SP4770007702,150,G,30,340,1
B31,b,-1.310095431,51.76507117,SP4770807602,160,G,31,328,1
B36,b,-1.310396993,51.7642997,SP4768807516,220,G,36,335,1
B37,b,-1.311282331,51.76420598,SP4762707505,80,G,37,180,1
B38,b,-1.311471783,51.76413516,SP4761407497,300,G,38,162,1
B39,b,-1.311825258,51.76393124,SP4759007474,10,G,39,177,1
B4,b,-1.308113354,51.76391764,SP4784607475,300,G,4,322,1
B40,b,-1.312165532,51.76368993,SP4756607447,20,G,40,166,1
B43,b,-1.312140463,51.76399521,SP4756807481,340,G,43,178,1
B49,b,-1.311926141,51.76474922,SP4758207565,50,G,49,163,1
B5,b,-1.308351769,51.76348747,SP4783007427,340,G,5,325,1
B60,b,-1.313732569,51.76602754,SP4745607706,200,G,60,336,1
B62A,b,-1.314639773,51.7654484,SP4739407641,250,G,62a,181,1
B63,b,-1.314502501,51.76494409,SP4740407585,160,G,63,164,1
B69,b,-1.31279367,51.76296504,SP4752407366,20,G,69,175,1
B7,b,-1.308839997,51.76377806,SP4779607459,100,G,7,324,1
B70,b,-1.312446898,51.76290008,SP4754807359,300,G,70,174,1
B76,b,-1.310518884,51.76581093,SP4767807684,230,G,76,321,1
B78,b,-1.312237405,51.76619863,SP4755907726,300,G,78,118,1
B79,b,-1.313899224,51.76650504,SP4744407759,70,G,79,117,1
B8,b,-1.309127168,51.76395058,SP4777607478,310,G,8,330,1
B81,b,-1.312837648,51.7667506,SP4751707787,110,G,81,120,1
B86,b,-1.310400718,51.76786068,SP4768407912,350,G,86,405,1
B87,b,-1.309827931,51.76836038,SP4772307968,290,G,87,415,1
B88,b,-1.31028724,51.7686508,SP4769108000,230,G,88,413,1
B89,b,-1.309057883,51.76849073,SP4777607983,0,G,89,409,1
B90,b,-1.308675503,51.76885712,SP4780208024,120,G,90,135,1
B91,b,-1.306351293,51.76637984,SP4796507750,320,G,91,576,1
B92,b,-1.306874162,51.76630201,SP4792907741,60,G,92,569,1
B94,b,-1.307298628,51.76602578,SP4790007710,210,G,94,yes,no logger
B96,b,-1.30714901,51.76538652,SP4791107639,310,G,96,728,1
B97,b,-1.308095356,51.76509539,SP4784607606,60,G,97,420,1
B98,b,-1.307645637,51.7651287,SP4787707610,190,G,98,276,1
B99,b,-1.307967975,51.76489683,SP4785507584,150,G,99,563,1
B99A,b,-1.307768975,51.7646439,SP4786907556,90,G,99a,565,1
C1,c,-1.329996387,51.75921563,SP4634006938,45,G,1,43,1
C10,c,-1.332834197,51.75639953,SP4614706623,290,G,10,47,1
C101,c,-1.330372664,51.75924475,SP4631406941,100,G,101,51,1
C102,c,-1.33032833,51.75892126,SP4631806905,200,G,102,376,1
C104,c,-1.330772917,51.75824945,SP4628806830,230,G,104,368,1
C106,c,-1.331627637,51.75727427,SP4623006721,20,G,106,60,1
C107,c,-1.331746318,51.75708613,SP4622206700,80,G,107,42,1
C108,c,-1.331257985,51.75667003,SP4625606654,155,G,108,57,1
C109,c,-1.333494628,51.75680788,SP4610106668,250,G,109,52,1
C11,c,-1.331850567,51.75629504,SP4621506612,280,G,11,59,1
