tree,x,y,bb_date_2013,bb_date_2014,species
A0-oak,446604,206814,32.98098098,8.333333,oak
A1-oak,446214,206632,29.46546547,3.562563,oak
A2-oak,446290,206629,32.21621622,15.97497,oak
A3-oak,446381,206642,31.13513514,7.851852,oak
A4-oak,446216,206738,28.97297297,5.555556,oak
A5-oak,446302,206673,31.02702703,9.296296,oak
A6-oak,446392,206744,31.86786787,13.51852,oak
A7-oak,446331,206808,31.85585586,19.25526,oak
A8-oak,446430,206799,33.26926927,13.74074,oak
A9-oak,446528,206797,27.25525526,4.457457,oak
B0-oak,448360,206993,31.38538539,14.18519,oak
B1-oak,446316,206899,33.50950951,13.62062,oak
B2-oak,446392,206933,32.30830831,12.15315,oak
B3-oak,446519,206943,33.90990991,9.342342,oak
B4-oak,446590,206928,29.20920921,2.975976,oak
B5-oak,448528,206890,33.48348348,15.22623,oak
B6-oak,446382,208040,33.85185185,11.42242,oak
B7-oak,446285,206985,30.7027027,3.794795,oak
B8-oak,446422,207028,29.70570571,11.48849,oak
B9-oak,446509,206986,33.46946947,14.74775,oak
C0-oak,446028,207164,28.77777778,14.94595,oak
C1-oak,448490,207025,33.94794795,12.27928,oak
C2-oak,448605,206987,34.98098098,16.65966,oak
C3-oak,445863,207123,32.83583584,15.29129,oak
C4-oak,446112,207070,32.34234234,11.81081,oak
C5-oak,446187,207070,31.77777778,8.927928,oak
C6-oak,448431,207056,28.51851852,8.923924,oak
C7-oak,448502,207105,29.63963964,10.26927,oak
C8-oak,448608,207095,26.75675676,5.900901,oak
C9-oak,445813,207152,33.54054054,21.46947,oak
D0-oak,445623,207405,30.51351351,13.65766,oak
D1-oak,446229,207224,31.39339339,10.04505,oak
D2-oak,448404,207236,34.26826827,12.58358,oak
D3-oak,448523,207189,33.4954955,16.61562,oak
D4-oak,445720,207313,31.7027027,10.66667,oak
D5-oak,447204,207304,33.60560561,8.279279,oak
D6-oak,447503,207319,33.31831832,9.972973,oak
D7-oak,448375,207313,35.10910911,18.78979,oak
D8-oak,448493,207314,33.78378378,9.116116,oak
D9-oak,445494,207407,31.46646647,12.3964,oak
E0-oak,445510,207509,34.64164164,18.39039,oak
E1-oak,446000,207450,33.10810811,14.42643,oak
E2-oak,446483,207372,32.62062062,12.0991,oak
E4-oak,447036,207405,37.74774775,28.24725,oak
E5-oak,447197,207365,32.55555556,5.720721,oak
E6-oak,447532,207403,32.25125125,13.79279,oak
E7-oak,447568,207423,33.46946947,8.513514,oak
E8-oak,448430,207403,37.37537538,27.67467,oak
E9-oak,445390,207514,32.81981982,15.48348,oak
F0-oak,447595,207515,31.17517518,13.43243,oak
F1-oak,445999,207493,33.25225225,16.98098,oak
F2-oak,446231,207501,28.45345345,1.3003,oak
F3-oak,446266,207522,32.33333333,10.00901,oak
F4-oak,446361,207477,33.07207207,13.84084,oak
F5-oak,446495,207522,35.40540541,12.58358,oak
F6-oak,446604,207524,30.69169169,12.63964,oak
F7-oak,446670,207527,33.62962963,11.91892,oak
F9-oak,447490,207505,31.98798799,10.91692,oak
G0-oak,445992,207624,32.92792793,14.07407,oak
G1-oak,447714,207521,35.4034034,18.38739,oak
G2-oak,447836,207497,31.24324324,9.148148,oak
G3-oak,448278,207550,31.33333333,5.788789,oak
G4-oak,445399,207631,35.25825826,15.50751,oak
G5-oak,445506,207608,32.42342342,12.75676,oak
G6-oak,445621,207602,29.61261261,11.38739,oak
G7-oak,445692,207599,32.4954955,13.78579,oak
G8-oak,445785,207582,33.10810811,16.45245,oak
G9-oak,445922,207666,32.02702703,10.55856,oak
H0-oak,445720,207650,29.47247247,4.784785,oak
H1-oak,446208,207576,32.41541542,12.24324,oak
H2-oak,446438,207576,33.96396396,17.25225,oak
H3-oak,447434,207605,32.41541542,12.02703,oak
H4-oak,447502,207600,27.41541542,4.828829,oak
H5-oak,447629,207585,34.71071071,13.82583,oak
H6-oak,447746,207604,32.50850851,9.888889,oak
H7-oak,447817,207606,34.83083083,15.82182,oak
H8-oak,445297,207677,32.34734735,14.63063,oak
H9-oak,445353,207725,29.5045045,6.918919,oak
I0-oak,445751,207824,33.21621622,11.65165,oak
I1-oak,447405,207677,34.54954955,12.27928,oak
I2-oak,447520,207719,33.34934935,13.71471,oak
I3-oak,447551,207690,34.55455455,15.34835,oak
I4-oak,447673,207663,30.88288288,8.821822,oak
I6-oak,447903,207719,34.46846847,18.83784,oak
I7-oak,448113,207715,34.50850851,10.58959,oak
I8-oak,445218,207821,32.35135135,6.774775,oak
I9-oak,445292,207802,33.05605606,18.75075,oak
J1-oak,446273,207817,33.35935936,15.50651,oak
J2-oak,447513,207834,34.6986987,12.70571,oak
J4-oak,447731,207841,34.96296296,17.03003,oak
J5-oak,447839,207811,30.12012012,13.98498,oak
J6-oak,447925,207825,33.62762763,14.98599,oak
J7-oak,448030,207801,33.98798799,15.07407,oak
J8-oak,448117,207780,29.83183183,6.069069,oak
J9-oak,445186,207914,33.98898899,14.1982,oak
K0-oak,447688,208007,31.86586587,10.74174,oak
K1-oak,445416,207922,33.84684685,13.45946,oak
